Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2019-03-21,69.6755,69.6755,68.6525,69.5377,739645.48401167
2019-03-22,69.4699,69.9159,68.6791,68.6791,884022.2435753
2019-03-25,68.3358,68.7825,67.3743,67.4437,729075.17875181
2019-03-26,67.7177,68.2406,67.3743,68.0755,602048.90658156
2019-03-27,68.5146,68.5146,66.6192,67.4574,783195.77227474
2019-03-28,67.4018,67.7177,67.2229,67.6218,810693.54252011
2019-03-29,67.9239,68.1988,67.031,67.0586,1102682.7889473
2019-04-01,67.9239,68.7825,67.0721,68.6379,700818.07014697
2019-04-02,68.8511,69.5377,67.9932,68.322,712808.52206181
2019-04-03,69.1265,71.4642,68.6106,71.1149,950912.33338532
2019-04-04,70.9436,71.2861,69.5726,69.5726,998766.41484143
2019-04-05,69.744,70.9086,67.4292,67.4292,878080.22385241
2019-04-08,67.7862,68.4734,67.3195,68.1576,959216.44717448
2019-04-09,68.1988,69.3664,67.8684,68.8168,1182233.3351069
2019-04-10,69.0566,70.1558,68.7483,70.0872,852710.70298821
2019-04-11,69.8467,70.0872,68.8854,69.0223,943028.61453564
2019-04-12,69.2629,69.9837,68.9546,69.8467,568440.95863749
2019-04-15,69.6069,69.6069,68.5565,69.0223,905931.38859379
2019-04-16,69.1944,69.7783,68.8168,69.7783,962424.58605648
2019-04-17,69.8125,71.0866,69.5726,70.671,882992.27597354
2019-04-18,70.2593,70.499,69.3321,69.4699,772328.56308885
2019-04-23,69.6411,70.397,69.5726,69.7783,537175.39874692
2019-04-24,69.7783,70.0187,69.2286,69.6069,1030800.5092308
2019-04-25,69.2286,69.5035,67.5122,69.2286,1178038.5818513
2019-04-26,69.0223,69.0923,67.7177,68.144,841318.00012796
2019-04-29,68.542,68.8168,67.5122,68.2953,633591.66438536
2019-04-30,68.322,68.4324,67.2229,67.2511,1190197.191742
2019-05-02,67.5806,67.9932,66.9206,67.1962,596799.22477464
2019-05-06,66.6192,66.9488,65.8504,66.4959,1059357.14923
2019-05-07,66.8796,66.8796,64.105,64.105,915800.15979838
2019-05-08,64.0373,64.2832,62.155,62.7181,1369863.4790076
2019-05-09,62.4982,62.7181,59.9711,60.2176,1474348.7000159
2019-05-10,60.781,61.2757,59.7929,60.2877,955624.69791019
2019-05-13,60.3417,61.1387,59.174,60.0532,858971.96011828
2019-05-14,60.7125,61.7705,59.5867,59.9155,1235423.8048262
2019-05-15,60.4102,60.4102,59.0644,60.0258,1015624.2519151
2019-05-16,60.3007,63.0614,59.5867,62.1411,1484557.7283747
2019-05-17,62.0309,64.2702,61.8526,63.79,1219447.4833913
2019-05-20,64.2155,64.4209,62.8415,63.3637,1207037.9502712
2019-05-21,63.213,63.9406,63.0752,63.624,1514103.6102159
2019-05-22,63.5289,64.1888,62.9929,62.9929,1271673.6722182
