Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2021-03-15,67.91,68.03,67.65,67.72,630
2021-03-16,68.32,68.4,68.26,68.29,913
2021-03-17,68.16,68.16,67.56,67.87,23935
2021-03-18,68.19,68.19,67.57,67.91,21632
2021-03-19,67.59,67.68,67.06,67.25,339
2021-03-22,67.11,67.72,67.11,67.72,58
2021-03-23,67.57,67.8,67.55,67.73,176
2021-03-24,67.24,67.5,67.23,67.46,163
2021-03-25,67.01,67.01,66.51,66.51,435
2021-03-26,67.58,67.58,67.58,67.58,30
2021-03-29,67.97,68,67.85,67.85,50
2021-03-30,68.33,68.33,68.07,68.07,101
2021-03-31,68.17,68.17,68.17,68.17,20
2021-04-01,68.59,68.88,68.59,68.88,791
2021-04-06,70.02,70.14,69.95,70.09,559
2021-04-07,70.18,70.19,70,70.19,1271
2021-04-08,70.47,70.47,70.3,70.3,876
2021-04-09,70.5,70.5,70.35,70.35,40
2021-04-12,70.88,70.88,70.82,70.84,811
2021-04-13,70.98,71.01,70.7,71.01,248
2021-04-14,71.23,71.31,71.01,71.29,252
2021-04-15,71.16,71.31,71.16,71.3,31
2021-04-16,71.56,71.82,71.56,71.78,661
2021-04-19,71.78,71.82,71.61,71.71,644
2021-04-20,71.63,71.68,71,71.18,646
2021-04-21,70.99,71.06,70.86,71.05,68
2021-04-22,71.42,71.65,71.42,71.63,575
2021-04-23,71.12,71.2,71.08,71.15,293
2021-04-26,71.79,71.8,71.62,71.66,222
2021-04-27,71.92,71.92,71.5,71.66,202
2021-04-28,71.81,71.88,71.62,71.77,197
2021-04-29,72.18,72.27,71.96,71.96,519
2021-04-30,72,72.07,71.66,71.97,423
2021-05-04,72,72,71.05,71.05,953
2021-05-05,71.35,71.71,71.35,71.58,323
2021-05-06,71.63,71.7,71.3,71.3,658
2021-05-07,72.06,72.63,72.06,72.63,218
2021-05-10,72.62,72.64,72.45,72.45,287
2021-05-11,71.6,71.6,70.5,70.5,476
2021-05-12,71.08,71.16,70.32,70.32,379
2021-05-13,69.67,70.6,69.21,70.6,449
2021-05-14,70.74,71.33,70.72,71.33,311
2021-05-17,71.36,71.56,71.12,71.3,156
2021-05-18,71.63,71.63,71.3,71.3,228
2021-05-19,70.47,70.47,69.67,69.7,321
2021-05-20,70.36,71.03,70.11,71.03,206
2021-05-21,71.49,71.78,71.49,71.78,200
2021-05-24,71.6,71.84,71.42,71.84,134
2021-05-25,72.27,72.27,72,72,208
2021-05-26,72.05,72.05,71.76,71.76,38
2021-05-27,71.63,72.23,71.59,72.05,277
2021-05-28,72.24,72.34,72.12,72.16,376
2021-05-31,72.21,72.21,71.94,72,229
2021-06-01,72.2,72.51,72.2,72.33,250
2021-06-02,72.06,72.06,72,72.01,157
2021-06-04,71.96,71.96,71.96,71.96,6
2021-06-07,72.5,72.7,72.39,72.55,493
2021-06-08,72.49,72.52,72.29,72.51,151
2021-06-09,72.37,72.62,72.33,72.59,236
2021-06-10,72.35,72.5,72.21,72.5,54
2021-06-11,72.55,72.58,72.5,72.56,150
2021-06-14,72.83,72.83,72.57,72.57,780
